Date,Open,High,Low,Close
2021-07-30,39722,41290,38389,40860
2021-07-31,40860,42247,40693,41516
2021-08-01,41516,42551,40694,41310
2021-08-02,41310,41313,38720,38857
2021-08-03,38861,39773,37768,38113
2021-08-04,38113,39851,37558,39706
2021-08-05,39745,41367,37454,40908
2021-08-06,40908,43314,39942,42673
2021-08-07,42696,44557,42404,43945
2021-08-08,43945,45276,43331,43855
2021-08-09,43855,46431,42832,45482
2021-08-10,45482,46608,44695,45627
2021-08-11,45627,46752,45276,46340
2021-08-12,46340,46391,43844,44440
2021-08-13,44440,47775,43912,47545
2021-08-14,47545,48103,46201,46665
2021-08-15,46665,47349,45615,46750
2021-08-16,46750,48047,45728,46065
2021-08-17,46065,47140,44601,45017
2021-08-18,45017,45965,44283,44593
2021-08-19,44593,46831,44016,46568
2021-08-20,46587,48993,46361,48653
2021-08-21,48653,49799,48374,48988
2021-08-22,49070,49466,48225,48425
2021-08-23,48425,50478,48315,49509
2021-08-24,49525,49852,47856,48364
2021-08-25,48364,49147,47193,48748
2021-08-26,48721,49372,46444,47048
2021-08-27,47048,49076,46383,48946
2021-08-28,48913,49306,48405,48760
2021-08-29,48760,49605,47922,48897
2021-08-30,48927,49394,47500,48670
2021-08-31,48670,48679,46725,46996
2021-09-01,47008,48953,46567,48279
2021-09-02,48271,50333,48268,49556
2021-09-03,49553,50999,48379,50184
2021-09-04,50152,50543,49535,50195
2021-09-05,50195,51652,49527,51652
2021-09-06,51753,52142,51044,51930
2021-09-07,51930,52918,43917,46777
2021-09-08,46825,47357,44548,46154
2021-09-09,46154,47384,45586,46268
2021-09-10,46265,47041,44879,45094
2021-09-11,45094,46000,44304,45333
2021-09-12,45317,46198,44781,45023
2021-09-13,45023,46697,43561,45144
2021-09-14,45186,46926,44724,46828
2021-09-15,46828,48436,46418,47948
2021-09-16,47941,48497,47063,47102
2021-09-17,47102,48167,46775,47028
2021-09-18,47028,48797,46828,48008
2021-09-19,48008,48359,47182,47588
2021-09-20,47588,47660,42636,43489
2021-09-21,43489,43904,40391,40971
2021-09-22,40971,43988,39721,43445
2021-09-23,43445,44932,43051,44679
2021-09-24,44679,45076,40944,43001
2021-09-25,43001,43162,41750,42719
2021-09-26,42719,43695,40827,43607
2021-09-27,43607,44318,42689,42696
2021-09-28,42708,43364,41145,41792
2021-09-29,41792,42538,40806,41114
2021-09-30,41133,44110,40984,43432
2021-10-01,43432,48122,43302,48110
2021-10-02,48139,48441,47480,48045
2021-10-03,48045,49158,47139,48552
2021-10-04,48465,49491,46993,49016
2021-10-05,49016,51757,48595,51378
2021-10-06,51378,55399,50476,54903
2021-10-07,54903,55588,53496,54205
2021-10-08,54205,55981,53659,53951
2021-10-09,53951,55410,53738,54651
2021-10-10,54651,56370,54211,55425
2021-10-11,55425,57767,54445,57390
2021-10-12,57390,57631,54404,55364
2021-10-13,55364,57479,54325,56988
2021-10-14,56988,58488,56916,57491
2021-10-15,57449,62719,56896,62496
2021-10-16,62496,62526,60184,61024
2021-10-17,61013,61408,59071,59472
2021-10-18,59472,62626,59395,61445
2021-10-19,61369,64322,61139,64120
2021-10-20,64120,66923,63594,65971
2021-10-21,65980,66612,62368,62707
2021-10-22,62707,63694,60100,60752
2021-10-23,60728,61716,59764,61087
2021-10-24,61087,61451,59571,61124
2021-10-25,61153,63688,60654,62546
2021-10-26,62546,63272,61863,62068
2021-10-27,62095,62095,58153,58957
2021-10-28,58957,62321,57964,61465
2021-10-29,61398,62943,60315,62420
2021-10-30,62420,62490,60876,61705
2021-10-31,61698,62400,60058,60968
2021-11-01,60968,62466,59716,60652
2021-11-02,60652,64243,60460,63140
2021-11-03,63140,63543,61029,62769
2021-11-04,62769,63211,60776,61378
2021-11-05,61364,62571,60791,60966
2021-11-06,60966,61594,60184,61223
2021-11-07,61226,63058,61226,62862
2021-11-08,62862,66504,62817,66175
2021-11-09,66143,68494,66112,67802
2021-11-10,67802,68925,63052,64387
2021-11-11,64193,65597,63984,65030
2021-11-12,65030,65459,62334,64072
2021-11-13,64130,64941,63412,64317
2021-11-14,64317,65297,63673,64373
2021-11-15,64361,66311,63659,63864
2021-11-16,63864,64015,58870,60557
2021-11-17,60509,61067,58567,60101
2021-11-18,60101,60956,56777,57583
2021-11-19,57606,58396,55688,57924
2021-11-20,57924,59725,57570,59682
2021-11-21,59682,60044,58630,59568
2021-11-22,59568,59574,55706,56278
2021-11-23,56278,57847,55537,57696
2021-11-24,57696,57755,55928,57334
2021-11-25,57334,59399,56918,58834
2021-11-26,58834,59342,53577,54101
2021-11-27,54101,55339,53605,54601
2021-11-28,54601,56402,53578,56281
2021-11-29,56281,58878,56104,58266
2021-11-30,58266,59146,55932,57144
2021-12-01,57144,59093,56547,57026
2021-12-02,57026,57362,55859,56904
2021-12-03,56904,57464,52653,53672
2021-12-04,53648,53874,42169,48745
2021-12-05,48770,49746,47892,49275
2021-12-06,49275,50426,47290,50007
2021-12-07,50126,51942,50126,50500
2021-12-08,50500,51182,48750,50634
2021-12-09,50634,50851,47377,47996
2021-12-10,47996,49982,47355,47984
2021-12-11,47984,49285,46880,48847
2021-12-12,48847,50767,48672,49981
2021-12-13,49981,50380,45871,46892
2021-12-14,46892,48639,46378,48280
2021-12-15,48280,49495,46631,49221
2021-12-16,49221,49398,47715,48139
2021-12-17,48139,48163,45539,46946
2021-12-18,46946,47335,45557,46941
2021-12-19,46941,48285,46468,46741
2021-12-20,46741,47524,45581,47013
2021-12-21,47013,49318,46676,49059
